RowNumber,id,sobrenome,pontuacao_credito,estado_residencia,genero,idade,nivel_estabilidade,saldo_conta,numero_produtos,possui_cartao_de_credito,membro_ativo
1,e7f44fcbd380d4cef7e6c232cc7e37895c3fd197,6d6e0aa1b9b413e442e2fb68df14b4fc3f91de50,619,SC,F,42,2,0.0,1,1,1
2,28dcb083ad90512da16b9430085c2cddb8ca5e12,48e1ad846796fa314f1b4a6702b83343eb5482c5,608,RS,F,41,1,83807.86,1,0,1
3,774bc378f787438c9c7594e536787d07a097a54b,f2b29d5d934de615812b697132e767dea0f1e9e2,502,SC,F,42,8,159660.8,3,1,0
4,043a71326f7096de155e7f0c559dc62b5e4b7239,85d5c9da7cddd8109ad32a6c348fe2bb10bf99f2,699,SC,F,39,1,0.0,2,0,0
5,37b3bb8ca243955fb3605ec7e1c2a4607cdb3b22,ddc89c837a6933639de75f28171057060bd322df,850,RS,F,43,2,125510.82,1,1,1
6,db5cf32c3fbc7c5d8f8313afca1d099de6dc055f,a596384ca70664af4c5fac9f935cff186b8e8bc0,645,RS,M,44,8,113755.78,2,1,0
7,8f3cc64a0a84bab38fefb030f09757d0cbf03bb2,abec3e525ab40e45975c91d4fa2bc7b318d93de4,822,SC,M,50,7,0.0,2,1,1
8,6704b822c203e2dda9f225dfc4f1bed2ae9044e6,336b42483e6a17f48eb040a251b5d6e64d1351a9,376,PR,F,29,4,115046.74,4,1,0
9,35f41954a87f722a3960e5fa8ce898a09398a564,53a417796c777851003b3f2431e8eef5625ec15b,501,SC,M,44,4,142051.07,2,0,1
10,f110be36fc6171a7da472b9cbac8698df880aac6,b89d09fc7719cb3c4a87e4a61cb87b3465e9d8ff,684,SC,M,27,2,134603.88,1,1,1
11,616ab70b0c6c9bbca2053d3841890a9831c5e547,b63d6ef4454a8239107e8e33d75d3180f9147507,528,SC,M,31,6,102016.72,2,0,0
12,727d2911ca645148ecb222005c5f4f8ccf72b4d6,a1009913e51c3c11ef2e88eda344ec5befa13fd4,497,RS,M,24,3,0.0,2,1,0
13,09470d0412441f628088863770edd8203a6d061a,dd917fc96b650bae522051ff7d9e004f2567b1cf,476,SC,F,34,10,0.0,2,1,0
14,572eae7cd6575a5b53f64a86086b145e7166c627,8c9da9261f9d8a66d9bda9c46ccbc08032cdfa81,549,SC,F,25,5,0.0,2,0,0
15,4f883154a84d3fda402e17686bfe212558f7f15e,2ad0c93dcf651c0afe5e5aa7a8778f7c3ec5769e,635,RS,F,35,7,0.0,2,1,1
16,04a488f5afe23bc8e0bc2dab36b7ef31a2175465,ae50d67a10a428f042478724f8696faad69c16e7,616,PR,M,45,3,143129.41,2,0,1
17,5970b1f277e0c09c2fbdf5c0b2961e286d1eee8a,b7e8d8eaaffa2e0990b222ca486b9c2426c2cd7e,653,PR,M,58,1,132602.88,1,1,0
18,b1c2ded79f093bc3c2457b4414ffcb938fa1a80e,717b2196c49d4a878dd7183b9288ae7252e14b8a,549,RS,F,24,9,0.0,2,1,1
19,f9d58de212c7e4a06ad9211ece951d6ea5fd39a3,b0cfa7d7ba8cd6345e4e7eae4e84650f53c47ce2,587,RS,M,45,6,0.0,1,0,0
20,5d4168b50ccd45013fe0825674c62e88bdc4bc7c,62ceeb2fea53054f1dfc5a63fcf122df23c41e86,726,SC,F,24,6,0.0,2,1,1
21,126b4161a90e5111ed65761b48245f4e7f49141f,50c854beeb0f6a4e3465b44ab16cd02c9c0bb6b4,732,SC,M,41,8,0.0,2,1,1
22,98f9522491c556f6f1d85b1599795c06f2308ed2,38780b430a52ceef086fcb21119fbd92ced065d9,636,RS,F,32,8,0.0,2,1,0
23,046f71b6ad15a9a444cf5ca5b8a74743643291a3,afb46a95e2ae7bcdbe2d51316b3b8feada4b48dd,510,RS,F,38,4,0.0,1,1,0
24,8ad90a634410dff2c8c95664c397d574668f8c15,2936874b0e3d8b302e4374fd2b5815597cac153e,669,SC,M,46,3,0.0,2,0,1
25,3d663c528596602e01a61269591b85a5f807758a,061a6a52bf333f2e2a74b71b6da4251cb754d0c9,846,SC,F,38,5,0.0,1,1,1
26,3e3b037e09aaaf96e4db397c1ee4e7c88aae0d2b,b3cfad417cfafd5dc602f95547d2bed7c540e8f8,577,SC,M,25,3,0.0,2,0,1
27,93f9d14870d4e1f4b406e822aeda2522034e36a7,190ad954707e053c18af1de13a140cb70a6ff58c,756,PR,M,36,2,136815.64,1,1,1
28,37282c1c850a72ed07c506e6c3daf51412aabb7d,d74ce11fbedcf613c4f632adda935e81752a07e9,571,SC,M,44,9,0.0,2,0,0
29,29696d097f5af397971553e03af3d72544a2de43,bb0562f482fc937e49bca1fbce8619797d02a123,574,PR,F,43,3,141349.43,1,1,1
30,e814e093415a63fe4b1fff6ee00f9810262ef601,20ed95bb92156c5cb4e4e27e8a5fb17bb670727c,411,SC,M,29,0,59697.17,2,1,1
31,c5f69b83c0ce118337d9d88b285dc25fbe8256ca,cc3f1d8b1c9dbe09e1306b672a295f43894a4994,591,RS,F,39,3,0.0,3,1,0
32,51683c33b403098b3fa29ec6ff0880c579c4d23a,017bc4460b493e8a6664a9ffafe7542cb42f2840,533,SC,M,36,7,85311.7,1,0,1
33,80121ca72032240577824fdd8fba3757a337c41a,2dd561fedd0beb76892b97be9a2754193a5da42a,553,PR,M,41,9,110112.54,2,0,0
34,0251f18fe1221d3f9d292a191ff158f24412a0e9,be26412dccd20848459a81f247ef39da3be534fb,520,RS,F,42,6,0.0,2,1,1
35,4b6d4ceb218c02ce44c07ab02ec0615be9ab7f66,1a75584361f57a67c91e9b2b41b75cbba53b461d,722,RS,F,29,9,0.0,2,1,1
36,3fe78b845f5f714a180243c509273ea1e9417b6c,02cd0eecd63f82d48ddaa4254b817a2d06fa4a6d,475,SC,F,45,0,134264.04,1,1,0
37,ca318f4a9a8f40af47544d66bf5342e926038db2,bc7b81598c9ff1c0984416a8b73382f31c214134,490,RS,M,31,3,145260.23,1,0,1
38,4dc5da687e9d7b61d2753af905e48daa8849be5e,8140258900af15fdfc8da1ddebb7c918e4f49a14,804,RS,M,33,7,76548.6,1,0,1
39,c13c700e82f5a10bc085f988a71889f4682cde92,bcf981cf6cb88cf6d4bb734c1d74a7ae5c479552,850,SC,M,36,7,0.0,1,1,1
40,86dd03103e33d8505f948894162dcd1a1d6975ff,9ef50458985ec73d89602aa848e0eb12b2b335a2,582,PR,M,41,6,70349.48,2,0,1
41,1c1030538edd0e4525dc931d3d84c6153038a31e,b256d455b2a3e5e208c219f00f013d1d6f00f785,472,RS,M,40,4,0.0,1,1,0
42,d924f7a777100d6e088fd159e4d739300b42ddaf,553853102c33bddfb5950c6de0c9fbe06bfcb686,465,SC,F,51,8,122522.32,1,0,0
43,243cad4763966ea892a752081c8b715744957c6a,187363bac855a9d626bda56c98451555a0835f60,556,SC,F,61,2,117419.35,1,1,1
44,04873d5b52ee22054fefaa74bdd72c6f93062d60,b305d2aeb8f2bdc96c1bc3db6c0c2bb7549b50b6,834,SC,F,49,2,131394.56,1,0,0
