,0
0,110440.49171930848
1,171303.8195466912
2,170566.5284335822
3,197693.6402374752
4,228222.70460774755
5,170631.6579175915
6,188610.1135498489
7,158025.19988274242
8,197843.99677421138
9,117514.88085607736
10,178932.71193713823
11,84486.8402929923
12,76973.10300662676
13,152964.04638432848
14,105296.13593876915
15,357908.10579707555
16,272757.7932233044
17,310686.5121963289
18,299196.08369226905
19,416022.3356286628
20,306188.9910430201
21,226030.17533690264
22,177688.24641393736
23,164980.24778240116
24,197992.23724031614
25,203806.16420019782
26,327729.39320750884
27,236776.537094347
28,210748.41881139332
29,237975.09572764122
30,199918.7011860995
31,109394.72857587757
32,200540.9840445251
33,307460.7220100275
34,308190.05949076306
35,226933.7033837454
36,176290.8346215807
37,151332.44277522815
38,172992.71910530637
39,166971.98673540965
40,175779.32527774063
41,150131.71262109315
42,275999.2320104109
43,245638.69710676573
44,230918.48818055112
45,202287.14870386352
46,248549.79801873173
47,198185.33271636104
48,161265.53413708892
49,147557.76319444453
50,146807.4831316797
51,183106.90909957513
52,148012.9128949442
53,148932.3153251776
54,203319.9385306627
55,153847.149040998
56,162316.28614906577
57,116154.39423850102
58,210073.20159929915
59,130665.92209681719
60,126398.02264582396
61,182405.1050811463
62,101574.9911584099
63,111989.74070688173
64,110227.76240767776
65,92745.50661829393
66,100888.15728742309
67,141032.70515740747
68,134798.96211786382
69,203872.82122227494
70,142128.47034121523
71,100651.3933336782
72,156137.23327036813
73,122464.1399980549
74,153426.24384618967
75,100545.73261453123
76,50594.31759341387
77,181401.51903738466
78,221664.7437184166
79,119182.08600706444
80,127633.7832035079
81,131570.5404451394
82,180968.98447981596
83,91827.76010479828
84,131566.95277328198
85,141968.2110395813
86,134570.7761421843
87,143997.23378666316
88,126565.25605073833
89,137821.75989526624
90,119475.88693597395
91,158658.41661357367
92,163855.11308212922
93,127575.51119003938
94,170193.0402460881
95,118238.09901824483
96,103725.88954714015
97,99825.3448575386
98,88471.28875117736
99,135611.6862990409
100,122001.37802845692
101,125282.07297996969
102,120172.55577967795
103,153042.94233037528
104,140283.80213194212
105,247190.30530913876
106,68096.02750996457
107,244906.24809514883
108,109977.8950747961
109,139191.71864858107
110,108490.53120117285
111,131459.40241725446
112,224165.4328731121
113,116131.10778151518
114,238133.11331961397
115,261071.1577978796
116,184111.77020727325
117,162543.97289308475
118,138906.62237058274
119,190518.89729754723
120,162749.21387117342
121,132959.1203713088
122,290203.73512833985
123,232478.9098850542
124,155058.00357923761
125,36058.54565801899
126,100040.97574314021
127,152163.11657013488
128,108665.8221714379
129,118902.9739438748
130,88978.30013638054
131,94590.03836278617
132,136224.5339968729
133,143565.93127488086
134,117388.53811049087
135,230203.4693179347
136,189809.69554081673
137,204196.43121650457
138,183148.15178781445
139,170265.35137821524
140,37431.09952639113
141,118039.52364815239
142,58274.01012410974
143,249632.6764133309
144,237687.26279166358
145,174362.87195195287
146,154352.06832695738
147,224100.281407909
148,218022.84908494382
149,162279.15346043694
150,144723.83489850134
151,153307.5299799349
152,152239.11311350367
153,127384.26983286282
154,72236.59340895395
155,40685.971861379105
156,62057.39932998596
157,106792.34844978698
158,153014.24547176232
159,167930.5979283418
160,124160.36130533053
161,139630.67308943457
162,256582.80866740167
163,209127.88643214855
164,107629.08612835757
165,174560.9182596487
166,185259.89669677825
167,263067.243662165
168,179874.48877052954
169,334177.18186796876
170,217325.47689589154
171,251912.0933115114
172,183410.39490160297
173,187873.52876967943
174,182204.1322381741
175,157722.38522081147
176,198276.0067086888
177,213944.49076633583
178,192828.34335166245
179,255841.5716362216
180,186438.2678801068
181,248371.65949795142
182,232769.19862499385
183,233735.08570489183
184,245880.0440320507
185,179298.01374734857
186,162700.86821522092
187,116922.52742385327
188,126814.9304937991
189,115713.62612083093
190,107960.86072071032
191,88505.06428945488
192,92981.63962210246
193,134170.28708284628
194,135944.49673883285
195,133120.6112841175
196,137797.3388758192
197,136414.05978761776
198,111777.27897359456
199,150318.32041002915
200,406254.00743615953
201,372988.6347226702
202,354777.14284299605
203,445047.77057603083
204,312271.3464103246
205,318571.0161794795
206,353938.9877705062
207,341961.00861579843
208,309624.0445304103
209,344173.4075205828
210,289372.45555304235
211,386145.74420874944
212,301468.52186058636
213,259789.8061524799
214,216949.45265714085
215,231523.71842114348
216,237307.586344947
217,418753.08390320884
218,350280.06696496496
219,330887.4371708833
220,277170.88970959064
221,308532.58529490454
222,216522.23865015997
223,194720.1529346122
224,178346.02986344515
225,166919.62812397984
226,177271.35843045567
227,196036.32863755384
228,200615.94906214072
229,207575.69895268194
230,197746.17203726462
231,249468.13940599468
232,182433.714964025
233,178660.3655075172
234,170881.9445336648
235,281175.22211290157
236,172877.8391674807
237,350227.9342792577
238,329533.6512916077
239,285208.3654945656
240,296481.0909500901
241,239642.80404063704
242,245583.7537348556
243,264104.05903306813
244,233155.83490764708
245,380751.35088438075
246,213290.7878490589
247,212309.33328160943
248,243268.3310795997
249,215751.37337095483
250,264593.20126713254
251,264291.1616382068
252,276668.74078444834
253,226230.45802887145
254,210778.55740120166
255,180946.21852855588
256,183598.5043479718
257,130760.08246298307
258,208097.7055819212
259,227532.50468655594
260,167330.41503904838
261,114187.66072431703
262,152882.95943185466
263,220701.53229134507
264,244511.89638267067
265,193103.80682087186
266,150924.31283701822
267,185507.00345422103
268,169935.40768766642
269,171704.3609949729
270,118450.87906596437
271,106977.95073234999
272,102659.25978195053
273,100148.22845096803
274,128220.54145005155
275,96774.57603685257
276,318522.06722552254
277,285346.0278296245
278,269754.47132024076
279,211666.4998996023
280,187485.26330991185
281,170721.0149177482
282,188142.73878967293
283,308976.88346800965
284,228911.14994877545
285,233445.94173682245
286,245053.18884762656
287,242126.36995063222
288,153645.20223912236
289,138146.46593695675
290,254375.71595041011
291,109929.71762576613
292,148996.91768132648
293,212060.26691272628
294,167280.213522249
295,133197.60066488845
296,111350.77946513024
297,146309.9619009291
298,162153.8197704732
299,166608.4841883045
300,150754.78965208156
301,170888.50803518484
302,181134.14702026855
303,109773.37638728815
304,173356.51454978657
305,201592.61809341353
306,222913.87346724185
307,149700.29270576197
308,162704.77693023958
309,166222.470051084
310,113181.81913241968
311,138630.99446077883
312,120858.0390625965
