iter	RMSE
0	77625.9139
1	75699.55332
2	73841.80913
3	71892.55655
4	70045.42089
5	68229.904
6	66523.28931
7	64869.75467
8	63243.79462
9	61781.62643
10	60222.75628
11	58898.93566
12	57456.16792
13	56128.55686
14	55080.30778
15	53801.17324
16	52772.17391
17	51692.47579
18	50521.21138
19	49630.75598
20	48621.6374
21	47802.42379
22	46846.07063
23	45923.25322
24	45051.14375
25	44243.49344
26	43536.73706
27	42856.64352
28	42157.66568
29	41402.05984
30	40728.52796
31	40031.86161
32	39244.21168
33	38648.06366
34	38045.62622
35	37460.7798
36	36823.35259
37	36277.03902
38	35824.33182
39	35287.59178
40	34765.2697
41	34222.98509
42	33792.56451
43	33370.90708
44	32910.14386
45	32520.86912
46	32110.94572
47	31723.23922
48	31351.21973
49	30986.13181
50	30575.21339
51	30197.63853
52	29927.44404
53	29608.9291
54	29319.90588
55	29010.47526
56	28735.37802
57	28463.96765
58	28195.07146
59	27918.74513
60	27715.46151
61	27407.28398
62	27152.22775
63	26893.77806
64	26695.43389
65	26448.37094
66	26234.42323
67	26015.33294
68	25811.30448
69	25616.52885
70	25448.47584
71	25280.72943
72	25123.24322
73	24933.87766
74	24763.38332
75	24610.38479
76	24424.28171
77	24256.86729
78	24073.79514
79	23932.75206
80	23772.10808
81	23633.67941
82	23476.90427
83	23309.07717
84	23190.39009
85	23049.03276
86	22899.14458
87	22762.5034
88	22641.53114
89	22549.83948
90	22431.2193
91	22329.46505
92	22203.41039
93	22107.83869
94	22028.46067
95	21929.06997
96	21871.37609
97	21786.64113
98	21664.14491
99	21564.36255
100	21487.06481
101	21403.09706
102	21316.34618
103	21232.69456
104	21149.09859
105	21085.92733
106	21001.42691
107	20917.51768
108	20845.86189
109	20784.10836
110	20700.64513
111	20616.29076
112	20577.61461
113	20512.19326
114	20423.19214
115	20369.63266
116	20321.40541
117	20254.5437
118	20191.87183
119	20117.49922
120	20057.71621
121	20016.62936
122	19972.57452
123	19895.07867
124	19854.82539
125	19785.31615
126	19729.17508
127	19695.76502
128	19620.03708
129	19548.9642
130	19488.57814
131	19450.8195
132	19404.72492
133	19325.97733
134	19255.01839
135	19203.7894
136	19157.21327
137	19115.05734
138	19058.91689
139	19018.10465
140	18963.33691
141	18932.55284
142	18885.13443
143	18831.35752
144	18787.96379
145	18749.59312
146	18706.53029
147	18660.82541
148	18619.65901
149	18580.0634
150	18536.22622
151	18483.86375
152	18441.11439
153	18392.70976
154	18366.38943
155	18346.64608
156	18293.82343
157	18263.8169
158	18243.79467
159	18231.17528
160	18179.67854
161	18137.24236
162	18084.98249
163	18047.75438
164	18014.24253
165	17993.92333
166	17951.49235
167	17910.25532
168	17877.1094
169	17851.26433
170	17811.55478
171	17773.47613
172	17736.89593
173	17689.72487
174	17647.63015
175	17612.26167
176	17586.86779
177	17557.02426
178	17527.66096
179	17504.64142
180	17461.38357
181	17424.62311
182	17407.51984
183	17359.76334
184	17305.52352
185	17280.46259
186	17239.70052
187	17227.31984
188	17208.03533
189	17166.75772
190	17143.32092
191	17121.68131
192	17095.7695
193	17060.48493
194	17028.77886
195	16988.28734
196	16956.80453
197	16940.83786
198	16914.50076
199	16883.31484
200	16849.60418
201	16806.04142
202	16779.46044
203	16731.89018
204	16694.47809
205	16673.3477
206	16633.35401
207	16609.60372
208	16570.01892
209	16538.76279
210	16508.30789
211	16485.06748
212	16463.9703
213	16432.00869
214	16395.70016
215	16387.28129
216	16364.3032
217	16334.29856
218	16316.84959
219	16285.83913
220	16263.14256
221	16227.46051
222	16195.38815
223	16180.04025
224	16162.3944
225	16126.66029
226	16104.16223
227	16059.348
228	16027.28467
229	15989.64631
230	15970.08546
231	15962.31271
232	15911.6629
233	15878.77914
234	15834.13248
235	15805.82033
236	15791.51597
237	15770.53359
238	15743.50941
239	15705.96797
240	15674.2788
241	15649.81352
242	15620.20005
243	15597.38112
244	15561.87368
245	15529.11309
246	15505.32127
247	15466.2026
248	15430.66008
249	15396.86725
250	15365.94757
251	15333.95039
252	15313.42528
253	15275.52755
254	15245.53702
255	15208.30993
256	15183.47715
257	15146.65988
258	15117.06165
259	15096.42611
260	15065.28243
261	15044.85197
262	14998.27116
263	14970.56567
264	14948.65252
265	14925.48192
266	14888.13897
267	14865.58061
268	14842.34912
269	14812.01518
270	14777.01491
271	14747.83174
272	14724.38553
273	14698.76873
274	14675.12557
275	14658.21358
276	14620.17709
277	14597.03242
278	14574.94196
279	14543.11991
280	14511.30202
281	14487.02172
282	14462.2846
283	14440.66831
284	14409.94245
285	14391.02085
286	14351.38061
287	14317.03976
288	14289.89066
289	14262.11604
290	14223.56713
291	14203.6997
292	14176.5923
293	14157.09416
294	14124.63734
295	14106.74791
296	14081.18427
297	14063.92485
298	14033.77697
299	14005.19725
300	13968.90477
301	13938.20271
302	13910.39989
303	13898.41175
304	13872.95159
305	13859.68488
306	13833.89587
307	13814.92516
308	13785.67221
309	13765.42217
310	13739.49319
311	13716.13312
312	13695.06274
313	13658.64835
314	13637.55701
315	13612.70276
316	13595.34369
317	13575.71199
318	13554.42141
319	13523.075
