iter	Passed	Remaining
0	55	55341
1	58	29410
2	63	21001
3	68	16982
4	73	14579
5	78	13036
6	83	11811
7	87	10877
8	92	10142
9	97	9635
10	102	9195
11	108	8953
12	112	8517
13	116	8195
14	120	7918
15	126	7750
16	130	7566
17	134	7345
18	142	7382
19	148	7275
20	152	7094
21	157	7000
22	163	6934
23	169	6880
24	175	6834
25	180	6754
26	184	6654
27	188	6553
28	194	6524
29	202	6549
30	209	6547
31	215	6511
32	222	6511
33	229	6521
34	237	6536
35	242	6500
36	249	6489
37	256	6484
38	262	6468
39	270	6490
40	278	6515
41	282	6452
42	287	6393
43	293	6378
44	300	6376
45	305	6328
46	310	6301
47	315	6260
48	320	6222
49	326	6194
50	332	6185
51	337	6157
52	342	6114
53	347	6087
54	352	6049
55	357	6033
56	365	6041
57	370	6024
58	376	6010
59	382	5986
60	387	5964
61	398	6023
62	404	6010
63	411	6018
64	416	5990
65	422	5976
66	429	5978
67	434	5956
68	440	5942
69	445	5913
70	450	5895
71	458	5903
72	464	5901
73	470	5888
74	476	5871
75	480	5841
76	486	5832
77	492	5819
78	497	5801
79	501	5767
80	506	5746
81	511	5724
82	516	5705
83	523	5709
84	529	5696
85	534	5677
86	538	5648
87	543	5630
88	548	5615
89	554	5604
90	560	5597
91	564	5575
92	569	5553
93	574	5532
94	577	5498
95	583	5495
96	589	5484
97	594	5471
98	600	5462
99	606	5456
100	611	5444
101	618	5441
102	623	5430
103	629	5421
104	634	5404
105	639	5391
106	645	5385
107	652	5386
108	658	5379
109	663	5364
110	668	5354
111	672	5335
112	678	5327
113	683	5309
114	688	5297
115	694	5289
116	698	5275
117	703	5257
118	709	5252
119	713	5231
120	718	5216
121	724	5212
122	728	5192
123	732	5176
124	738	5169
125	744	5165
126	749	5154
127	755	5147
128	760	5132
129	765	5121
130	773	5129
131	779	5127
132	786	5123
133	792	5120
134	797	5109
135	804	5108
136	809	5097
137	813	5083
138	819	5074
139	824	5065
140	828	5048
141	833	5036
142	840	5035
143	845	5026
144	850	5014
145	856	5008
146	860	4994
147	867	4994
148	873	4988
149	878	4977
150	882	4960
151	887	4952
152	892	4938
153	899	4943
154	904	4929
155	909	4918
156	913	4904
157	918	4894
158	924	4890
159	931	4892
160	937	4884
161	941	4870
162	946	4858
163	950	4847
164	956	4839
165	962	4834
166	967	4826
167	972	4815
168	978	4810
169	984	4807
170	990	4801
171	996	4797
172	1001	4785
173	1005	4771
174	1010	4765
175	1015	4754
176	1021	4749
177	1029	4754
178	1033	4740
179	1036	4723
180	1042	4715
181	1046	4703
182	1051	4695
183	1058	4694
184	1062	4682
