Date,pm10,no2,so2,soot
1/1/2009,98.67,14.1,44.38,34.81
1/2/2009,52.33,14.1,29.75,33.06
1/3/2009,74.67,20.5,36.25,39.25
1/4/2009,72,17.3,46.44,34.38
1/5/2009,81,25.64,56.56,45.59
1/6/2009,147,25.2,42.38,69.33
1/7/2009,185,21.91,71.69,84.06
1/8/2009,148.67,25.09,51.75,74.41
1/9/2009,216,37.27,63.47,64.06
1/10/2009,135.67,23.18,63.13,58.94
1/11/2009,138.67,21.64,67.56,49.65
1/12/2009,96.67,21,84.24,49.83
1/13/2009,101,22.64,83.06,46.44
1/14/2009,129.33,25.42,78.11,55.53
1/15/2009,101,21.42,52.44,42.42
1/16/2009,83.67,47.08,44.94,39.84
1/17/2009,88.67,24.75,41.67,47.79
1/18/2009,149.33,34.75,87.22,83.79
1/19/2009,41,32.08,52.89,46.42
1/20/2009,46.33,26.5,36.5,27.76
1/21/2009,26.67,19.67,28.59,16.28
1/22/2009,28.33,23.42,19.82,18.17
1/23/2009,40.67,25.58,17.94,28.56
1/24/2009,38,30.33,19.88,27.39
1/25/2009,25,25.33,16.88,16.17
1/26/2009,48.67,32.5,20.35,29.11
1/27/2009,35.67,27.42,25.47,22.28
1/28/2009,21.33,18.83,15.83,19.88
1/29/2009,16.67,17.5,14.44,23.71
1/30/2009,29.33,15.42,15.28,27.61
1/31/2009,31.33,17,17.39,24.33
2/1/2009,25.67,14.58,20.39,23
2/2/2009,21.33,14.92,25.11,19.78
2/3/2009,19.67,10.42,20.88,19.79
2/4/2009,49.67,14.58,19.22,29.84
2/5/2009,62,30.08,27.06,48
2/6/2009,30.67,27.67,21.61,35.68
2/7/2009,29.33,19.58,16.39,23.11
2/8/2009,27,16.17,15.11,23.79
2/9/2009,12.67,14.5,11.5,15.94
2/10/2009,30.33,25,17.67,30.05
2/11/2009,22,21,15.56,24.05
2/12/2009,18.33,17.82,14.33,17.21
2/13/2009,21.33,17.55,17.35,17.83
2/14/2009,24,15.91,13.76,16.94
2/15/2009,18.67,12.91,13.35,14.89
2/16/2009,35.33,23.18,16.35,22.06
2/17/2009,37,32.27,21.65,33.83
2/18/2009,33.33,19.33,16.28,25.68
2/19/2009,20,13.67,18.56,19.53
2/20/2009,34.33,19.92,15.33,21.89
2/21/2009,52.67,23,17.33,29.32
2/22/2009,75.33,23.17,13.78,35.26
2/23/2009,114.33,39.58,31.72,53.37
2/24/2009,123,39.08,35.06,52.26
2/25/2009,89,29.92,23.06,39.63
2/26/2009,72.33,31,23.72,37.89
2/27/2009,44.33,29.58,23.94,35.47
2/28/2009,36.67,31.5,20.72,35.47
3/1/2009,75.5,35.13,28.65,48.47
3/2/2009,56.75,30.25,26.5,41.53
3/3/2009,56.5,27.94,27.9,43.32
3/4/2009,38.5,16.75,19,26.11
3/5/2009,22.75,10.56,15.75,21.11
3/6/2009,33,17.81,15.8,23.79
3/7/2009,29.83,15.81,11.35,18.21
3/8/2009,31.17,17.44,11.9,22.32
3/9/2009,33.17,22.81,17.1,26.16
3/10/2009,42,20.75,14.5,25.11
3/11/2009,32.67,22.13,17.85,24.83
3/12/2009,25.2,17.44,14.25,22
3/13/2009,25.67,18.13,16.2,20.22
3/14/2009,42,18.06,14,21.83
3/15/2009,72,25.44,25.25,35.72
3/16/2009,38.83,18.69,16.55,20.33
3/17/2009,41.33,17.19,13.65,18.78
3/18/2009,23.17,12.38,11.7,16.06
3/19/2009,27,16.63,12.3,18.28
3/20/2009,38.33,18.75,15,19.05
3/21/2009,26.6,15.75,13.55,15.74
3/22/2009,31,14.94,12.4,16.42
3/23/2009,28,20,14.15,17.79
3/24/2009,21.83,21.27,13.5,14.59
3/25/2009,28.83,18.57,12.6,17
3/26/2009,34.67,26.33,17.4,21.24
3/27/2009,34.17,28,17.95,20.88
3/28/2009,27.33,22.6,14.85,16.71
3/29/2009,47.83,13.29,10.95,15.88
3/30/2009,29.83,19.57,12.05,16.82
3/31/2009,34.2,19.21,9.9,19.44
4/1/2009,60.83,19.47,12.55,24.65
4/2/2009,39.17,17.46,10.95,20.5
4/3/2009,27.5,16.07,10.3,16.27
4/4/2009,35.33,20.93,11.7,21.27
4/5/2009,51.83,31.07,12.45,29.2
4/6/2009,53.6,29,14.1,27.6
4/7/2009,48,30.36,12.9,27.63
4/8/2009,39,30.8,11.25,32.88
4/9/2009,65.8,34.33,14.15,42.71
4/10/2009,61.4,38.6,19.2,42.67
4/11/2009,39.17,18,10.3,18.61
4/12/2009,35.33,15.27,9.8,12.89
4/13/2009,44,15.36,8.8,13.94
4/14/2009,32.83,22.57,11.6,24.76
4/15/2009,40.83,25.5,12.3,29.24
4/16/2009,45.67,39.69,14.7,42.74
4/17/2009,27.67,24.13,10.5,17.84
4/18/2009,24.67,22.94,9.45,17.11
4/19/2009,34,23.31,9.55,23.05
4/20/2009,28.17,23.75,9.2,19.68
4/21/2009,34.33,22.94,9.1,19.05
4/22/2009,29.67,20.5,8.75,18.89
4/23/2009,19.75,20.5,8.45,17.05
4/24/2009,28.83,28.81,9.5,28.32
4/25/2009,39,28.13,11.3,27.16
4/26/2009,24.5,18.38,8.85,13.47
4/27/2009,23.33,17.75,7.55,14.42
4/28/2009,24.2,19.38,9.55,16.95
4/29/2009,24.2,23.93,9.05,22.95
4/30/2009,17.6,21.2,8.85,19.26
5/1/2009,28,15.5,7.9,18.63
5/2/2009,25.67,11.69,7.85,16.68
5/3/2009,37,19.94,9.3,21.74
5/4/2009,33.67,22.75,10.1,24.89
5/5/2009,25.17,18.44,8.6,20.05
5/6/2009,22,21,8.8,21.05
5/7/2009,23,21.75,8.5,21.74
5/8/2009,26.67,29.63,10.85,30.63
5/9/2009,35.75,33.25,13.4,37
5/10/2009,31,30.13,11.55,30.42
5/11/2009,36.5,30.31,17.4,27.63
5/12/2009,31.5,26.13,10.65,22.37
5/13/2009,20.17,17.25,9.1,18.21
5/14/2009,32.5,22.44,9.35,22.95
5/15/2009,47.67,29.81,12.95,28.84
5/16/2009,40.17,28.81,13.3,25.42
5/17/2009,44.17,27.06,11.9,25.37
5/18/2009,38.17,25.19,11.8,23.32
5/19/2009,34.17,19.07,10.25,21.11
5/20/2009,31.17,16.4,9.45,16.94
5/21/2009,35.67,25.67,10,20.78
5/22/2009,43.17,34.6,13.5,27.78
5/23/2009,23.67,23.27,9.75,16.89
5/24/2009,29.5,25,10.45,23.72
5/25/2009,39.17,30.6,10.4,25.89
5/26/2009,35,29.07,11.55,22.16
5/27/2009,28,20.33,9.55,17.42
5/28/2009,20.5,18,8.9,16.33
5/29/2009,21.17,19.47,9.45,17.11
5/30/2009,23.33,17.67,9.7,17.61
5/31/2009,28.33,19.73,10.5,17.67
6/1/2009,28.5,22.33,9.1,16.42
